Order ID,Order Date,Ship Date,Customer ID,Customer Name,Segment,Region,State,City,Postal Code,Product ID,Category,Sub-Category,Product Name,Sales,Revenue,Quantity,Discount,Profit,Profit Margin,Order Year,Order Quarter,Order Month,Order Month Name,Order YearMonth
CA-2017-152156,2017-11-08,2017-11-11,CG-12520,Claire Gute,Consumer,South,Kentucky,Henderson,42420,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,261.96,1,0.0,78.588,0.3,2017,2017Q4,11,November,2017-11
CA-2017-152156,2017-11-08,2017-11-11,CG-12520,Claire Gute,Consumer,South,Kentucky,Henderson,42420,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,731.94,1,0.0,219.582,0.3,2017,2017Q4,11,November,2017-11
CA-2017-138688,2017-06-12,2017-06-16,DV-13045,Darrin Van Huff,Corporate,West,California,Los Angeles,90036,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,14.62,1,0.0,4.386000000000001,0.3000000000000001,2017,2017Q2,6,June,2017-06
US-2016-108966,2016-10-11,2016-10-18,SO-20335,Sean O'Donnell,Consumer,South,Florida,Fort Lauderdale,33311,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,957.5775,1,0.0,287.2732500000001,0.3000000000000001,2016,2016Q4,10,October,2016-10
US-2016-108966,2016-10-11,2016-10-18,SO-20335,Sean O'Donnell,Consumer,South,Florida,Fort Lauderdale,33311,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,22.368,1,0.0,6.7104,0.3,2016,2016Q4,10,October,2016-10
CA-2015-115812,2015-06-09,2015-06-14,BH-11710,Brosina Hoffman,Consumer,West,California,Los Angeles,90032,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,48.86,1,0.0,14.658000000000001,0.30000000000000004,2015,2015Q2,6,June,2015-06
CA-2015-115812,2015-06-09,2015-06-14,BH-11710,Brosina Hoffman,Consumer,West,California,Los Angeles,90032,OFF-AR-10002833,Office Supplies,Art,Newell 322,7.28,7.28,1,0.0,2.184,0.3,2015,2015Q2,6,June,2015-06
CA-2015-115812,2015-06-09,2015-06-14,BH-11710,Brosina Hoffman,Consumer,West,California,Los Angeles,90032,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,907.152,1,0.0,272.14560000000006,0.30000000000000004,2015,2015Q2,6,June,2015-06
CA-2015-115812,2015-06-09,2015-06-14,BH-11710,Brosina Hoffman,Consumer,West,California,Los Angeles,90032,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,18.504,1,0.0,5.5512000000000015,0.30000000000000004,2015,2015Q2,6,June,2015-06
CA-2015-115812,2015-06-09,2015-06-14,BH-11710,Brosina Hoffman,Consumer,West,California,Los Angeles,90032,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,114.9,1,0.0,34.47000000000001,0.3000000000000001,2015,2015Q2,6,June,2015-06
CA-2015-115812,2015-06-09,2015-06-14,BH-11710,Brosina Hoffman,Consumer,West,California,Los Angeles,90032,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,1706.184,1,0.0,511.85519999999997,0.3,2015,2015Q2,6,June,2015-06
CA-2015-115812,2015-06-09,2015-06-14,BH-11710,Brosina Hoffman,Consumer,West,California,Los Angeles,90032,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424,911.424,1,0.0,273.4272000000001,0.3000000000000001,2015,2015Q2,6,June,2015-06
CA-2018-114412,2018-04-15,2018-04-20,AA-10480,Andrew Allen,Consumer,South,North Carolina,Concord,28027,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.552,15.552,1,0.0,4.665600000000001,0.3000000000000001,2018,2018Q2,4,April,2018-04
CA-2017-161389,2017-12-05,2017-12-10,IM-15070,Irene Maddox,Consumer,West,Washington,Seattle,98103,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,407.976,1,0.0,122.39280000000002,0.30000000000000004,2017,2017Q4,12,December,2017-12
US-2016-118983,2016-11-22,2016-11-26,HP-14815,Harold Pawlan,Home Office,Central,Texas,Fort Worth,76106,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,68.81,1,0.0,20.643,0.3,2016,2016Q4,11,November,2016-11
US-2016-118983,2016-11-22,2016-11-26,HP-14815,Harold Pawlan,Home Office,Central,Texas,Fort Worth,76106,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,2.544,1,0.0,0.7632000000000001,0.30000000000000004,2016,2016Q4,11,November,2016-11
CA-2015-105893,2015-11-11,2015-11-18,PK-19075,Pete Kriz,Consumer,Central,Wisconsin,Madison,53711,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,665.88,1,0.0,199.764,0.30000000000000004,2015,2015Q4,11,November,2015-11
CA-2015-167164,2015-05-13,2015-05-15,AG-10270,Alejandro Grove,Consumer,West,Utah,West Jordan,84084,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,55.5,1,0.0,16.650000000000006,0.3000000000000001,2015,2015Q2,5,May,2015-05
CA-2015-143336,2015-08-27,2015-09-01,ZD-21925,Zuschuss Donatelli,Consumer,West,California,San Francisco,94109,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,8.56,1,0.0,2.5680000000000005,0.30000000000000004,2015,2015Q3,8,August,2015-08
CA-2015-143336,2015-08-27,2015-09-01,ZD-21925,Zuschuss Donatelli,Consumer,West,California,San Francisco,94109,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,213.48,1,0.0,64.04400000000001,0.30000000000000004,2015,2015Q3,8,August,2015-08
CA-2015-143336,2015-08-27,2015-09-01,ZD-21925,Zuschuss Donatelli,Consumer,West,California,San Francisco,94109,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,22.72,1,0.0,6.816000000000001,0.30000000000000004,2015,2015Q3,8,August,2015-08
CA-2017-137330,2017-12-09,2017-12-13,KB-16585,Ken Black,Corporate,Central,Nebraska,Fremont,68025,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46,19.46,1,0.0,5.838000000000001,0.30000000000000004,2017,2017Q4,12,December,2017-12
CA-2017-137330,2017-12-09,2017-12-13,KB-16585,Ken Black,Corporate,Central,Nebraska,Fremont,68025,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,60.34,1,0.0,18.102000000000004,0.30000000000000004,2017,2017Q4,12,December,2017-12
US-2018-156909,2018-07-16,2018-07-18,SF-20065,Sandra Flanagan,Consumer,East,Pennsylvania,Philadelphia,19140,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,71.372,1,0.0,21.4116,0.3,2018,2018Q3,7,July,2018-07
CA-2016-106320,2016-09-25,2016-09-30,EB-13870,Emily Burns,Consumer,West,Utah,Orem,84057,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,1044.63,1,0.0,313.3890000000001,0.3000000000000001,2016,2016Q3,9,September,2016-09
CA-2017-121755,2017-01-16,2017-01-20,EH-13945,Eric Hoffmann,Consumer,West,California,Los Angeles,90049,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,11.648,1,0.0,3.4944000000000006,0.30000000000000004,2017,2017Q1,1,January,2017-01
CA-2017-121755,2017-01-16,2017-01-20,EH-13945,Eric Hoffmann,Consumer,West,California,Los Angeles,90049,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,90.57,1,0.0,27.171,0.3,2017,2017Q1,1,January,2017-01
US-2016-150630,2016-09-17,2016-09-21,TB-21520,Tracy Blumstein,Consumer,East,Pennsylvania,Philadelphia,19140,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,3083.43,1,0.0,925.029,0.3,2016,2016Q3,9,September,2016-09
US-2016-150630,2016-09-17,2016-09-21,TB-21520,Tracy Blumstein,Consumer,East,Pennsylvania,Philadelphia,19140,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,9.618,1,0.0,2.8854000000000006,0.30000000000000004,2016,2016Q3,9,September,2016-09
US-2016-150630,2016-09-17,2016-09-21,TB-21520,Tracy Blumstein,Consumer,East,Pennsylvania,Philadelphia,19140,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,124.2,1,0.0,37.260000000000005,0.30000000000000004,2016,2016Q3,9,September,2016-09
US-2016-150630,2016-09-17,2016-09-21,TB-21520,Tracy Blumstein,Consumer,East,Pennsylvania,Philadelphia,19140,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,3.264,1,0.0,0.9792000000000001,0.30000000000000004,2016,2016Q3,9,September,2016-09
